48.836456_2.306552,Srjt53nBLL6cgT_1yFEqPQ
48.867181_2.324042,BbpWldpvESVlIOaHqiTPKA
48.868534_2.410934,taBUgIS0EZswl1L_HsLdBw
48.880587_2.370865,KaK0Kmd1WPpf4QuadtsI2A
48.875245_2.357630,dZ8b9OW6yn6sT3msXGkrkA
48.841960_2.393014,A5mzI4w7uOuaAX4-xtce_A
48.866591_2.342029,JMifkygRkzhl34yG4rBDYw
48.839951_2.256047,xBZLy7Rl4yEbSa3H8uTOvA
48.837444_2.307592,j684IsTa6jn1dnSeAhwXEg
48.851642_2.400192,tjEd9ccnNcw4AgMYuXK5kg
48.860149_2.290134,3h38zJMLHHDmPGQRAdXs-Q
48.847756_2.301481,FdskdIdIgfjy2ZpRJvcJwg
48.841724_2.322206,V1q8PktJZFfdP17cgLz38A
48.897640_2.325760,dqPkh0fMSA02PiMeMn1yPQ
48.890050_2.296477,uFyhsIe5RwjfG_ofsr3qjw
48.851858_2.295568,62FPoAxBZyG9Q30obApMAQ
48.853904_2.289578,_vnFS7ul1UYswJMRXGFJDA
48.896828_2.352768,C7s0nE72bO3lNRux9zCsxw
48.844543_2.408529,5vIP7vQjN6eCqUMVahTkaw
48.896416_2.324512,xbDSLGI3RDFyi1XUiHGhFQ
48.877743_2.376778,NBgpZoWQuumFSdCMb7YFEQ
48.838038_2.291977,81QntREJaW9sxIx21le2Xw
48.827746_2.320643,G2L8xIvN6GHcKQ-Y4kdvFQ
48.884732_2.365066,GvO-l1ViKkjm42_fxo1H5w
48.881755_2.388446,Af76rP14KUHJISvp4RC0GA
48.848104_2.265023,ejlu-p0Cra6g1BrNI_br6A
48.880605_2.312856,S-25Pr_gTtUwr1gxTlF1hw
48.845517_2.319151,zJTjDi7JyfyJi4RVRcgbUQ
48.867409_2.341441,GrXprddBkLFMEo2dKl6iPw
48.840195_2.338102,iC45_H60Fd1XRK5G3KoQCw
48.837401_2.383195,UUasHFmEYN5f_iw9XkiI1w
48.889566_2.301486,tbTUMlwOlWbrPzCvUzNPFQ
48.868704_2.372744,LeMOknEQYvMK6rwKyY7UGQ
